"simCAlpha","fitAlpha","simBeta","fitBeta","BIC"
NA,NA,NA,NA,NA
0,0,1,0,275.297213717955
0,0.0140968472672628,2,10,268.866214414826
0,0,3,0,275.297213717955
0,0.0186391702050059,4,0,275.297213717955
0,1,5,0.993252060360004,270.877210725153
0,0.00166975899692735,6,10,275.21402648969
0,0,7,0,275.297213717955
0,0,8,0,275.297213717955
0,0,9,0,275.297213717955
0,0,10,0,275.297213717955
0.111111111111111,0.840309113589361,1,0.0627906731968189,275.282215717852
0.111111111111111,0,2,0,275.297213717955
0.111111111111111,0.445808873314716,3,0,275.297213717955
0.111111111111111,0.805830870945241,4,0.850412359265295,272.397071083235
0.111111111111111,0,5,0,275.297213717955
0.111111111111111,0,6,0,275.297213717955
0.111111111111111,0.26664438171164,7,2.10079656259942,267.209939683653
0.111111111111111,0.605733025771171,8,2.40754720784262,248.42904591202
0.111111111111111,0.314154150606113,9,3.26491044306264,266.680910041627
0.111111111111111,0,10,0,275.297213717955
0.222222222222222,0.882520369119537,1,0,275.297213717955
0.222222222222222,0,2,0,275.297213717955
0.222222222222222,0,3,0,275.297213717955
0.222222222222222,0,4,0.364215285867634,275.297213717955
0.222222222222222,0.32894691802422,5,0.563018945853977,274.946125393145
0.222222222222222,0.24098280053469,6,3.20167101765755,265.306573097645
0.222222222222222,0.23789617356929,7,2.92377499923302,265.742759830793
0.222222222222222,0.125847260987367,8,4.0015191918941,268.439580344481
0.222222222222222,0.648107169103267,9,1.51816917184357,270.08742562173
0.222222222222222,0.496477949290623,10,1.68799349301484,270.721150140384
0.333333333333333,0,1,0,275.297213717955
0.333333333333333,0,2,0,275.297213717955
0.333333333333333,0.174707357982068,3,0.795550722788942,274.688140911983
0.333333333333333,0.261551897268725,4,0.16421701785486,275.276493927007
0.333333333333333,0.00573936910410686,5,10,274.167289470981
0.333333333333333,0,6,0,275.297213717955
0.333333333333333,0.699217733058337,7,1.12657566397438,270.895538919531
0.333333333333333,0.426946638817116,8,3.35899544741846,259.308769630669
0.333333333333333,0.279608786030956,9,4.54794048062602,250.53876964903
0.333333333333333,0.446978844749233,10,3.00042515074583,263.358765372655
0.444444444444444,0.00110746903557006,1,10,275.153736537156
0.444444444444444,1,2,0.271933647057168,274.950419078113
0.444444444444444,0,3,0,275.297213717955
0.444444444444444,0.561408563734759,4,0.223688615564839,275.206417755057
0.444444444444444,0.144135681326417,5,3.85267098668348,269.160650301408
0.444444444444444,0.29725423178204,6,1.4879655227965,273.779357875786
0.444444444444444,0.136909347193483,7,4.78566681048468,268.090690128105
0.444444444444444,0.252251834420419,8,4.23989717343651,261.476366270844
0.444444444444444,0.537190517187601,9,2.19628818386916,268.809016962371
0.444444444444444,0.573306588867184,10,2.00070957188517,268.136965209123
0.555555555555556,0.0935458610005077,1,0,275.297213717955
0.555555555555556,0,2,0,275.297213717955
0.555555555555556,0.540771832418468,3,0.746382503558424,274.157826620427
0.555555555555556,0,4,0,275.297213717955
0.555555555555556,0.174764731503627,5,5.27622521265659,263.743402145127
0.555555555555556,0.19667172426678,6,3.97631027152605,267.010539257347
0.555555555555556,0.419525095695277,7,2.28132623923983,268.07999241168
0.555555555555556,0.273430401785997,8,3.73313781176035,269.824756916611
0.555555555555556,0.323447838055943,9,2.43867239541019,267.39405188065
0.555555555555556,0.273801166010197,10,3.49488123410969,265.107774059347
0.666666666666667,0,1,0,275.297213717955
0.666666666666667,0.115333619501026,2,3.16468668268074,269.181391029438
0.666666666666667,0,3,0,275.297213717955
0.666666666666667,0,4,0,275.297213717955
0.666666666666667,0.737858414223241,5,1.42589803388116,268.491825664341
0.666666666666667,0.809501638156739,6,0.877065438593256,272.606337085359
0.666666666666667,0.0708909635660378,7,10,262.46920122531
0.666666666666667,0,8,0,275.297213717955
0.666666666666667,0.129034924175003,9,7.01089555031477,260.896261532999
0.666666666666667,0.270012710660948,10,2.2999423392788,271.028108543007
0.777777777777778,0,1,0,275.297213717955
0.777777777777778,1,2,0.470003580374192,274.20620499928
